"Location","String Value","String Representation","Data Type","Label","Is Ascii","Function Name"
"004f2bd0","ampdu_txq_prof_dump","\"ampdu_txq_prof_dump\"","ds","s_ampdu_txq_prof_dump_004f2bd0","true",""
"004f2be4","show txq histogram","\"show txq histogram\"","ds","s_show_txq_histogram_004f2be4","true",""
"004f2bf8","ampdu_txq_ss","\"ampdu_txq_ss\"","ds","s_ampdu_txq_ss_004f2bf8","true",""
"004f2c08","take txq snapshot","\"take txq snapshot\"","ds","s_take_txq_snapshot_004f2c08","true",""
"004f2c1c","dpt_deny","\"dpt_deny\"","ds","s_dpt_deny_004f2c1c","true",""
"004f2c28","adds/removes ea to dpt deny list
	usage: wl dpt_deny <add\,remove> <ea>","\"adds/removes ea to dpt deny list\n\tusage: wl dpt_deny <add\,remove> <ea>\"","ds","s_adds/removes_ea_to_dpt_deny_list_004f2c28","true",""
"004f2c70","dpt_endpoint","\"dpt_endpoint\"","ds","s_dpt_endpoint_004f2c70","true",""
"004f2c80","creates/updates/deletes dpt endpoint for ea
	usage: wl dpt_endpoint <create\, update\, delete> <ea>","\"creates/updates/deletes dpt endpoint for ea\n\tusage: wl dpt_endpoint <create\, update\, delete> <ea>\"","ds","s_creates/updates/deletes_dpt_endp_004f2c80","true",""
"004f2ce4","dpt_pmk","\"dpt_pmk\"","ds","s_dpt_pmk_004f2ce4","true",""
"004f2cec","sets DPT pre-shared key","\"sets DPT pre-shared key\"","ds","s_sets_DPT_pre-shared_key_004f2cec","true",""
"004f2d04","dpt_fname","\"dpt_fname\"","ds","s_dpt_fname_004f2d04","true",""
"004f2d10","sets/gets DPT friendly name","\"sets/gets DPT friendly name\"","ds","s_sets/gets_DPT_friendly_name_004f2d10","true",""
"004f2d2c","dpt_list","\"dpt_list\"","ds","s_dpt_list_004f2d2c","true",""
"004f2d38","gets status of all dpt peers","\"gets status of all dpt peers\"","ds","s_gets_status_of_all_dpt_peers_004f2d38","true",""
"004f2d58","HCI_cmd","\"HCI_cmd\"","ds","s_HCI_cmd_004f2d58","true",""
"004f2d60","carries HCI commands to the driver
	usage: wl HCI_cmd <command> <args>","\"carries HCI commands to the driver\n\tusage: wl HCI_cmd <command> <args>\"","ds","s_carries_HCI_commands_to_the_driv_004f2d60","true",""
"004f2da8","HCI_ACL_data","\"HCI_ACL_data\"","ds","s_HCI_ACL_data_004f2da8","true",""
"004f2db8","carries HCI ACL data packet to the driver
	usage: wl HCI_ACL_data <logical link handle> <data>","\"carries HCI ACL data packet to the driver\n\tusage: wl HCI_ACL_data <logical link handle> <data>\"","ds","s_carries_HCI_ACL_data_packet_to_t_004f2db8","true",""
"004f2e18","btamp_statelog","\"btamp_statelog\"","ds","s_btamp_statelog_004f2e18","true",""
"004f2e28","Return state transistion log of BTAMP","\"Return state transistion log of BTAMP\"","ds","s_Return_state_transistion_log_of_B_004f2e28","true",""
"004f2e50","actframe","\"actframe\"","ds","s_actframe_004f2e50","true",""
"004f2e5c","Send a Vendor specific Action frame to a channel
	usage: wl actframe <Dest Mac Addr> <data> channel dwell-time <BSSID>","\"Send a Vendor specific Action frame to a channel\n\tusage: wl actframe <Dest Mac Addr> <data> channel dwell-time <BSSID>\"","ds","s_Send_a_Vendor_specific_Action_fr_004f2e5c","true",""
"004f2ed4","antdiv","\"antdiv\"","ds","s_antdiv_004f2ed4","true",""
"004f2edc","Set antenna diversity for rx
	0 - force use of antenna 0
	1 - force use of antenna 1
	3 - automatic selection of antenna diversity","\"Set antenna diversity for rx\n\t0 - force use of antenna 0\n\t1 - force use of antenna 1\n\t3 - automatic selection of antenna diversity\"","ds","s_Set_antenna_diversity_for_rx_0_-_004f2edc","true",""
"004f2f60","txant","\"txant\"","ds","s_txant_004f2f60","true",""
"004f2f68","Set the transmit antenna
	0 - force use of antenna 0
	1 - force use of antenna 1
	3 - use the RX antenna selection that was in force during
	    the most recently received good PLCP header","\"Set the transmit antenna\n\t0 - force use of antenna 0\n\t1 - force use of antenna 1\n\t3 - use the RX antenna selection that was in force during\n\t    the most recently received good PLCP header\"","ds","s_Set_the_transmit_antenna_0_-_for_004f2f68","true",""
"004f3028","plcphdr","\"plcphdr\"","ds","s_plcphdr_004f3028","true",""
"004f3030","Set the plcp header.
	\"long\" or \"auto\" or \"debug\"","\"Set the plcp header.\n\t\\"long\\" or \\"auto\\" or \\"debug\\"\"","ds","s_Set_the_plcp_header._\"long\"_or_\"_004f3030","true",""
"004f3064","phytype","\"phytype\"","ds","s_phytype_004f3064","true",""
"004f306c","Get phy type","\"Get phy type\"","ds","s_Get_phy_type_004f306c","true",""
"004f307c","rateparam","\"rateparam\"","ds","s_rateparam_004f307c","true",""
"004f3088","set driver rate selection tunables
	arg 1: tunable id
	arg 2: tunable value","\"set driver rate selection tunables\n\targ 1: tunable id\n\targ 2: tunable value\"","ds","s_set_driver_rate_selection_tunabl_004f3088","true",""
"004f30d4","wepstatus","\"wepstatus\"","ds","s_wepstatus_004f30d4","true",""
"004f30e0","Set or Get WEP status
	wepstatus [on|off]","\"Set or Get WEP status\n\twepstatus [on|off]\"","ds","s_Set_or_Get_WEP_status_wepstatus_[_004f30e0","true",""
"004f310c","primary_key","\"primary_key\"","ds","s_primary_key_004f310c","true",""
"004f3118","Set or get index of primary key","\"Set or get index of primary key\"","ds","s_Set_or_get_index_of_primary_key_004f3118","true",""
"004f3138","addwep","\"addwep\"","ds","s_addwep_004f3138","true",""
"004f3140","Set an encryption key.  The key must be 5\, 13 or 16 bytes long\, or
	10\, 26\, 32\, or 64 hex digits long.  The encryption algorithm is
	automatically selected based on the key size. keytype is accepted
	only when key length is 16 bytes/32 hex digits and specifies
	whether AES-OCB or AES-CCM encryption is used. Default is ccm.
	WAPI is selected if key len is 32 and arguments contain wapi.
	addwep <keyindex> <keydata> [ocb | ccm | wapi] [notx] [xx:xx:xx:xx:xx:xx]","\"Set an encryption key.  The key must be 5\, 13 or 16 bytes long\, or\n\t10\, 26\, 32\, or 64 hex digits long.  The encryption algorithm is\n\tautomatically selected based on the key size. keytype is accepted\n\tonly when key length is 16 bytes/32 hex digits and specifies\n\twhether AES-OCB or AES-CCM encryption is used. Default is ccm.\n\tWAPI is selected if key len is 32 and arguments contain wapi.\n\taddwep <keyindex> <keydata> [ocb | ccm | wapi] [notx] [xx:xx:xx:xx:xx:xx]\"","ds","s_Set_an_encryption_key._The_key_m_004f3140","true",""
"004f3310","rmwep","\"rmwep\"","ds","s_rmwep_004f3310","true",""
"004f3318","Remove the encryption key at the specified key index.","\"Remove the encryption key at the specified key index.\"","ds","s_Remove_the_encryption_key_at_the_004f3318","true",""
"004f3358","Prints a list of the current WEP keys","\"Prints a list of the current WEP keys\"","ds","s_Prints_a_list_of_the_current_WEP_004f3358","true",""
"004f3384","Print Tx Sequence Couter for key at specified key index.","\"Print Tx Sequence Couter for key at specified key index.\"","ds","s_Print_Tx_Sequence_Couter_for_key_004f3384","true",""
"004f33c0","wsec_test","\"wsec_test\"","ds","s_wsec_test_004f33c0","true",""
"004f33cc","Generate wsec errors
	wsec_test <test_type> <keyindex|xx:xx:xx:xx:xx:xx>
	type 'wl wsec_test ?' for test_types","\"Generate wsec errors\n\twsec_test <test_type> <keyindex|xx:xx:xx:xx:xx:xx>\n\ttype 'wl wsec_test ?' for test_types\"","ds","s_Generate_wsec_errors_wsec_test_<_004f33cc","true",""
"004f343c","tkip_countermeasures","\"tkip_countermeasures\"","ds","s_tkip_countermeasures_004f343c","true",""
"004f3454","Enable or disable TKIP countermeasures (TKIP-enabled AP only)
	0 - disable
	1 - enable","\"Enable or disable TKIP countermeasures (TKIP-enabled AP only)\n\t0 - disable\n\t1 - enable\"","ds","s_Enable_or_disable_TKIP_counterme_004f3454","true",""
"004f34ac","wsec_restrict","\"wsec_restrict\"","ds","s_wsec_restrict_004f34ac","true",""
"004f34bc","Drop unencrypted packets if WSEC is enabled
	0 - disable
	1 - enable","\"Drop unencrypted packets if WSEC is enabled\n\t0 - disable\n\t1 - enable\"","ds","s_Drop_unencrypted_packets_if_WSEC_004f34bc","true",""
"004f3508","restrict traffic to 802.1X packets until 802.1X authorization succeeds
	0 - disable
	1 - enable","\"restrict traffic to 802.1X packets until 802.1X authorization succeeds\n\t0 - disable\n\t1 - enable\"","ds","s_restrict_traffic_to_802.1X_packe_004f3508","true",""
"004f3568","cur_etheraddr","\"cur_etheraddr\"","ds","s_cur_etheraddr_004f3568","true",""
"004f3578","Get/set the current hw address","\"Get/set the current hw address\"","ds","s_Get/set_the_current_hw_address_004f3578","true",""
"004f3598","perm_etheraddr","\"perm_etheraddr\"","ds","s_perm_etheraddr_004f3598","true",""
"004f35a8","Get the permanent address from NVRAM","\"Get the permanent address from NVRAM\"","ds","s_Get_the_permanent_address_from_N_004f35a8","true",""
"004f35d0","authorize","\"authorize\"","ds","s_authorize_004f35d0","true",""
"004f35dc","restrict traffic to 802.1X packets until 802.1X authorization succeeds","\"restrict traffic to 802.1X packets until 802.1X authorization succeeds\"","ds","s_restrict_traffic_to_802.1X_packe_004f35dc","true",""
"004f3624","deauthorize","\"deauthorize\"","ds","s_deauthorize_004f3624","true",""
"004f3630","do not restrict traffic to 802.1X packets until 802.1X authorization succeeds","\"do not restrict traffic to 802.1X packets until 802.1X authorization succeeds\"","ds","s_do_not_restrict_traffic_to_802.1_004f3630","true",""
"004f3680","deauthenticate","\"deauthenticate\"","ds","s_deauthenticate_004f3680","true",""
"004f3690","deauthenticate a STA from the AP with optional reason code (AP ONLY)","\"deauthenticate a STA from the AP with optional reason code (AP ONLY)\"","ds","s_deauthenticate_a_STA_from_the_AP_004f3690","true",""
"004f36e0","wireless security bit vector
	1 - WEP enabled
	2 - TKIP enabled
	4 - AES enabled
	8 - WSEC in software
	0x80 - FIPS enabled
	0x100 - WAPI enabled
	0x200 - MFP capable
	0x400 - MFP required
	0x800 - MFP use KDF  (SHA256)","\"wireless security bit vector\n\t1 - WEP enabled\n\t2 - TKIP enabled\n\t4 - AES enabled\n\t8 - WSEC in software\n\t0x80 - FIPS enabled\n\t0x100 - WAPI enabled\n\t0x200 - MFP capable\n\t0x400 - MFP required\n\t0x800 - MFP use KDF  (SHA256)\"","ds","s_wireless_security_bit_vector_1_-_004f36e0","true",""
"004f37c4","set/get 802.11 authentication type. 0 = OpenSystem\, 1= SharedKey\, 3=Open/Shared","\"set/get 802.11 authentication type. 0 = OpenSystem\, 1= SharedKey\, 3=Open/Shared\"","ds","s_set/get_802.11_authentication_ty_004f37c4","true",""
"004f3814","wpa_auth","\"wpa_auth\"","ds","s_wpa_auth_004f3814","true",""
"004f3820","Bitvector of WPA authorization modes:
	1	WPA-NONE
	2	WPA-802.1X/WPA-Professional
	4	WPA-PSK/WPA-Personal
	8	CCKM (WPA)
	16	CCKM (WPA2)
	64	WPA2-802.1X/WPA2-Professional
	128	WPA2-PSK/WPA2-Personal
	0	disable WPA","\"Bitvector of WPA authorization modes:\n\t1\tWPA-NONE\n\t2\tWPA-802.1X/WPA-Professional\n\t4\tWPA-PSK/WPA-Personal\n\t8\tCCKM (WPA)\n\t16\tCCKM (WPA2)\n\t64\tWPA2-802.1X/WPA2-Professional\n\t128\tWPA2-PSK/WPA2-Personal\n\t0\tdisable WPA\"","ds","s_Bitvector_of_WPA_authorization_m_004f3820","true",""
"004f38f4","wpa_cap","\"wpa_cap\"","ds","s_wpa_cap_004f38f4","true",""
"004f38fc","set/get 802.11i RSN capabilities","\"set/get 802.11i RSN capabilities\"","ds","s_set/get_802.11i_RSN_capabilities_004f38fc","true",""
"004f3920","set_pmk","\"set_pmk\"","ds","s_set_pmk_004f3920","true",""
"004f3928","Set passphrase for PMK in driver-resident supplicant.","\"Set passphrase for PMK in driver-resident supplicant.\"","ds","s_Set_passphrase_for_PMK_in_driver_004f3928","true",""
"004f3960","sendprb","\"sendprb\"","ds","s_sendprb_004f3960","true",""
"004f3968","Send a probe request.
	-s S\, --ssid=S		SSIDs to scan
	-b MAC\, --bssid=MAC	particular BSSID MAC address\, xx:xx:xx:xx:xx:xx
	-d MAC\, --da=MAC	Destnation Address","\"Send a probe request.\n\t-s S\, --ssid=S\t\tSSIDs to scan\n\t-b MAC\, --bssid=MAC\tparticular BSSID MAC address\, xx:xx:xx:xx:xx:xx\n\t-d MAC\, --da=MAC\tDestnation Address\"","ds","s_Send_a_probe_request._-s_S\,_--ss_004f3968","true",""
"004f3a08","send_frame","\"send_frame\"","ds","s_send_frame_004f3a08","true",""
"004f3a14","send the ethernet frame provided in hex","\"send the ethernet frame provided in hex\"","ds","s_send_the_ethernet_frame_provided_004f3a14","true",""
"004f3a44","Initiate a scan.
	Default to an active scan across all channels for any SSID.
	Optional arg: SSIDs\, list of [up to 10] SSIDs to scan (comma or space separated).
	Options:
	-s S\, --ssid=S		SSIDs to scan
	-t ST\, --scan_type=ST	[active|passive|prohibit|offchan|hotspot] scan type
	--bss_type=BT		[bss/infra|ibss/adhoc] bss type to scan
	-b MAC\, --bssid=MAC	particular BSSID MAC address to scan\, xx:xx:xx:xx:xx:xx
	-n N\, --nprobes=N	number of probes per scanned channel
	-a N\, --active=N	dwell time per channel for active scanning
	-p N\, --passive=N	dwell time per channel for passive scanning
	-h N\, --home=N		dwell time for the home channel between channel scans
	-c L\, --channels=L	comma or space separated list of channels to scan","\"Initiate a scan.\n\tDefault to an active scan across all channels for any SSID.\n\tOptional arg: SSIDs\, list of [up to 10] SSIDs to scan (comma or space separated).\n\tOptions:\n\t-s S\, --ssid=S\t\tSSIDs to scan\n\t-t ST\, --scan_type=ST\t[active|passive|prohibit|offchan|hotspot] scan type\n\t--bss_type=BT\t\t[bss/infra|ibss/adhoc] bss type to scan\n\t-b MAC\, --bssid=MAC\tparticular BSSID MAC address to scan\, xx:xx:xx:xx:xx:xx\n\t-n N\, --nprobes=N\tnumber of probes per scanned channel\n\t-a N\, --active=N\tdwell time per channel for active scanning\n\t-p N\, --passive=N\tdwell time per channel for passive scanning\n\t-h N\, --home=N\t\tdwell time for the home channel between channel scans\n\t-c L\, --channels=L\tcomma or space separated list of channels to scan\"","ds","s_Initiate_a_scan._Default_to_an_a_004f3a44","true",""
"004f3d20","roamscan_parms","\"roamscan_parms\"","ds","s_roamscan_parms_004f3d20","true",""
"004f3d30","set/get roam scan parameters
Use standard scan params syntax below\,but only active/passive/home times\, nprobes\, and type are used.
All other values are silently discarded.
	Default to an active scan across all channels for any SSID.
	Optional arg: SSIDs\, list of [up to 10] SSIDs to scan (comma or space separated).
	Options:
	-s S\, --ssid=S		SSIDs to scan
	-t ST\, --scan_type=ST	[active|passive|prohibit|offchan|hotspot] scan type
	--bss_type=BT		[bss/infra|ibss/adhoc] bss type to scan
	-b MAC\, --bssid=MAC	particular BSSID MAC address to scan\, xx:xx:xx:xx:xx:xx
	-n N\, --nprobes=N	number of probes per scanned channel
	-a N\, --active=N	dwell time per channel for active scanning
	-p N\, --passive=N	dwell time per channel for passive scanning
	-h N\, --home=N		dwell time for the home channel between channel scans
	-c L\, --channels=L	comma or space separated list of channels to scan","\"set/get roam scan parameters\nUse standard scan params syntax below\,but only active/passive/home times\, nprobes\, and type are used.\nAll other values are silently discarded.\n\tDefault to an active scan across all channels for any SSID.\n\tOptional arg: SSIDs\, list of [up to 10] SSIDs to scan (comma or space separated).\n\tOptions:\n\t-s S\, --ssid=S\t\tSSIDs to scan\n\t-t ST\, --scan_type=ST\t[active|passive|prohibit|offchan|hotspot] scan type\n\t--bss_type=BT\t\t[bss/infra|ibss/adhoc] bss type to scan\n\t-b MAC\, --bssid=MAC\tparticular BSSID MAC address to scan\, xx:xx:xx:xx:xx:xx\n\t-n N\, --nprobes=N\tnumber of probes per scanned channel\n\t-a N\, --active=N\tdwell time per channel for active scanning\n\t-p N\, --passive=N\tdwell time per channel for passive scanning\n\t-h N\, --home=N\t\tdwell time for the home channel between channel scans\n\t-c L\, --channels=L\tcomma or space separated list of channels to scan\"","ds","s_set/get_roam_scan_parameters_Use_004f3d30","true",""
"004f40a8","roam_prof","\"roam_prof\"","ds","s_roam_prof_004f40a8","true",""
"004f40b4","get/set roaming profiles (need to specify band)
	Usage: wl roam_prof_2g a|b|2g|5g flags rssi_upper rssi_lower delta\, boost_thresh boot_delta nfscan fullperiod initperiod backoff maxperiod
","\"get/set roaming profiles (need to specify band)\n\tUsage: wl roam_prof_2g a|b|2g|5g flags rssi_upper rssi_lower delta\, boost_thresh boot_delta nfscan fullperiod initperiod backoff maxperiod\n\"","ds","s_get/set_roaming_profiles_(need_t_004f40b4","true",""
"004f4174","iscan_s","\"iscan_s\"","ds","s_iscan_s_004f4174","true",""
"004f417c","Initiate an incremental scan.
	Default to an active scan across all channels for any SSID.
	Optional arg: SSIDs\, list of [up to 10] SSIDs to scan (comma or space separated).
	Options:
	-s S\, --ssid=S		SSIDs to scan
	-t ST\, --scan_type=ST	[active|passive|prohibit|offchan|hotspot] scan type
	--bss_type=BT		[bss/infra|ibss/adhoc] bss type to scan
	-b MAC\, --bssid=MAC	particular BSSID MAC address to scan\, xx:xx:xx:xx:xx:xx
	-n N\, --nprobes=N	number of probes per scanned channel
	-a N\, --active=N	dwell time per channel for active scanning
	-p N\, --passive=N	dwell time per channel for passive scanning
	-h N\, --home=N		dwell time for the home channel between channel scans
	-c L\, --channels=L	comma or space separated list of channels to scan","\"Initiate an incremental scan.\n\tDefault to an active scan across all channels for any SSID.\n\tOptional arg: SSIDs\, list of [up to 10] SSIDs to scan (comma or space separated).\n\tOptions:\n\t-s S\, --ssid=S\t\tSSIDs to scan\n\t-t ST\, --scan_type=ST\t[active|passive|prohibit|offchan|hotspot] scan type\n\t--bss_type=BT\t\t[bss/infra|ibss/adhoc] bss type to scan\n\t-b MAC\, --bssid=MAC\tparticular BSSID MAC address to scan\, xx:xx:xx:xx:xx:xx\n\t-n N\, --nprobes=N\tnumber of probes per scanned channel\n\t-a N\, --active=N\tdwell time per channel for active scanning\n\t-p N\, --passive=N\tdwell time per channel for passive scanning\n\t-h N\, --home=N\t\tdwell time for the home channel between channel scans\n\t-c L\, --channels=L\tcomma or space separated list of channels to scan\"","ds","s_Initiate_an_incremental_scan._De_004f417c","true",""
"004f4464","iscan_c","\"iscan_c\"","ds","s_iscan_c_004f4464","true",""
"004f446c","Continue an incremental scan.
	Default to an active scan across all channels for any SSID.
	Optional arg: SSIDs\, list of [up to 10] SSIDs to scan (comma or space separated).
	Options:
	-s S\, --ssid=S		SSIDs to scan
	-t ST\, --scan_type=ST	[active|passive|prohibit|offchan|hotspot] scan type
	--bss_type=BT		[bss/infra|ibss/adhoc] bss type to scan
	-b MAC\, --bssid=MAC	particular BSSID MAC address to scan\, xx:xx:xx:xx:xx:xx
	-n N\, --nprobes=N	number of probes per scanned channel
	-a N\, --active=N	dwell time per channel for active scanning
	-p N\, --passive=N	dwell time per channel for passive scanning
	-h N\, --home=N		dwell time for the home channel between channel scans
	-c L\, --channels=L	comma or space separated list of channels to scan","\"Continue an incremental scan.\n\tDefault to an active scan across all channels for any SSID.\n\tOptional arg: SSIDs\, list of [up to 10] SSIDs to scan (comma or space separated).\n\tOptions:\n\t-s S\, --ssid=S\t\tSSIDs to scan\n\t-t ST\, --scan_type=ST\t[active|passive|prohibit|offchan|hotspot] scan type\n\t--bss_type=BT\t\t[bss/infra|ibss/adhoc] bss type to scan\n\t-b MAC\, --bssid=MAC\tparticular BSSID MAC address to scan\, xx:xx:xx:xx:xx:xx\n\t-n N\, --nprobes=N\tnumber of probes per scanned channel\n\t-a N\, --active=N\tdwell time per channel for active scanning\n\t-p N\, --passive=N\tdwell time per channel for passive scanning\n\t-h N\, --home=N\t\tdwell time for the home channel between channel scans\n\t-c L\, --channels=L\tcomma or space separated list of channels to scan\"","ds","s_Continue_an_incremental_scan._De_004f446c","true",""
"004f4754","scancache_clear","\"scancache_clear\"","ds","s_scancache_clear_004f4754","true",""
"004f4764","clear the scan cache","\"clear the scan cache\"","ds","s_clear_the_scan_cache_004f4764","true",""
"004f477c","escan","\"escan\"","ds","s_escan_004f477c","true",""
"004f4784","Start an escan.
	Default to an active scan across all channels for any SSID.
	Optional arg: SSIDs\, list of [up to 10] SSIDs to scan (comma or space separated).
	Options:
	-s S\, --ssid=S		SSIDs to scan
	-t ST\, --scan_type=ST	[active|passive|prohibit|offchan|hotspot] scan type
	--bss_type=BT		[bss/infra|ibss/adhoc] bss type to scan
	-b MAC\, --bssid=MAC	particular BSSID MAC address to scan\, xx:xx:xx:xx:xx:xx
	-n N\, --nprobes=N	number of probes per scanned channel
	-a N\, --active=N	dwell time per channel for active scanning
	-p N\, --passive=N	dwell time per channel for passive scanning
	-h N\, --home=N		dwell time for the home channel between channel scans
	-c L\, --channels=L	comma or space separated list of channels to scan","\"Start an escan.\n\tDefault to an active scan across all channels for any SSID.\n\tOptional arg: SSIDs\, list of [up to 10] SSIDs to scan (comma or space separated).\n\tOptions:\n\t-s S\, --ssid=S\t\tSSIDs to scan\n\t-t ST\, --scan_type=ST\t[active|passive|prohibit|offchan|hotspot] scan type\n\t--bss_type=BT\t\t[bss/infra|ibss/adhoc] bss type to scan\n\t-b MAC\, --bssid=MAC\tparticular BSSID MAC address to scan\, xx:xx:xx:xx:xx:xx\n\t-n N\, --nprobes=N\tnumber of probes per scanned channel\n\t-a N\, --active=N\tdwell time per channel for active scanning\n\t-p N\, --passive=N\tdwell time per channel for passive scanning\n\t-h N\, --home=N\t\tdwell time for the home channel between channel scans\n\t-c L\, --channels=L\tcomma or space separated list of channels to scan\"","ds","s_Start_an_escan._Default_to_an_ac_004f4784","true",""
"004f4a60","escanabort","\"escanabort\"","ds","s_escanabort_004f4a60","true",""
"004f4a6c","Abort an escan.
	Default to an active scan across all channels for any SSID.
	Optional arg: SSIDs\, list of [up to 10] SSIDs to scan (comma or space separated).
	Options:
	-s S\, --ssid=S		SSIDs to scan
	-t ST\, --scan_type=ST	[active|passive|prohibit|offchan|hotspot] scan type
	--bss_type=BT		[bss/infra|ibss/adhoc] bss type to scan
	-b MAC\, --bssid=MAC	particular BSSID MAC address to scan\, xx:xx:xx:xx:xx:xx
	-n N\, --nprobes=N	number of probes per scanned channel
	-a N\, --active=N	dwell time per channel for active scanning
	-p N\, --passive=N	dwell time per channel for passive scanning
	-h N\, --home=N		dwell time for the home channel between channel scans
	-c L\, --channels=L	comma or space separated list of channels to scan","\"Abort an escan.\n\tDefault to an active scan across all channels for any SSID.\n\tOptional arg: SSIDs\, list of [up to 10] SSIDs to scan (comma or space separated).\n\tOptions:\n\t-s S\, --ssid=S\t\tSSIDs to scan\n\t-t ST\, --scan_type=ST\t[active|passive|prohibit|offchan|hotspot] scan type\n\t--bss_type=BT\t\t[bss/infra|ibss/adhoc] bss type to scan\n\t-b MAC\, --bssid=MAC\tparticular BSSID MAC address to scan\, xx:xx:xx:xx:xx:xx\n\t-n N\, --nprobes=N\tnumber of probes per scanned channel\n\t-a N\, --active=N\tdwell time per channel for active scanning\n\t-p N\, --passive=N\tdwell time per channel for passive scanning\n\t-h N\, --home=N\t\tdwell time for the home channel between channel scans\n\t-c L\, --channels=L\tcomma or space separated list of channels to scan\"","ds","s_Abort_an_escan._Default_to_an_ac_004f4a6c","true",""
"004f4d48","passive","\"passive\"","ds","s_passive_004f4d48","true",""
"004f4d50","Puts scan engine into passive mode","\"Puts scan engine into passive mode\"","ds","s_Puts_scan_engine_into_passive_mo_004f4d50","true",""
"004f4d74","regulatory","\"regulatory\"","ds","s_regulatory_004f4d74","true",""
"004f4d80","Get/Set regulatory domain mode (802.11d). Driver must be down.","\"Get/Set regulatory domain mode (802.11d). Driver must be down.\"","ds","s_Get/Set_regulatory_domain_mode_(_004f4d80","true",""
"004f4dc0","spect","\"spect\"","ds","s_spect_004f4dc0","true",""
"004f4dc8","Get/Set 802.11h Spectrum Management mode.
	0 - Off
	1 - Loose interpretation of 11h spec - may join non-11h APs
	2 - Strict interpretation of 11h spec - may not join non-11h APs
	3 - Disable 11h and enable 11d
	4 - Loose interpretation of 11h+d spec - may join non-11h APs","\"Get/Set 802.11h Spectrum Management mode.\n\t0 - Off\n\t1 - Loose interpretation of 11h spec - may join non-11h APs\n\t2 - Strict interpretation of 11h spec - may not join non-11h APs\n\t3 - Disable 11h and enable 11d\n\t4 - Loose interpretation of 11h+d spec - may join non-11h APs\"","ds","s_Get/Set_802.11h_Spectrum_Managem_004f4dc8","true",""
"004f4edc","scanabort","\"scanabort\"","ds","s_scanabort_004f4edc","true",""
"004f4ee8","Abort a scan.","\"Abort a scan.\"","ds","s_Abort_a_scan._004f4ee8","true",""
"004f4ef8","scanresults","\"scanresults\"","ds","s_scanresults_004f4ef8","true",""
"004f4f04","Return results from last scan.","\"Return results from last scan.\"","ds","s_Return_results_from_last_scan._004f4f04","true",""
"004f4f24","iscanresults","\"iscanresults\"","ds","s_iscanresults_004f4f24","true",""
"004f4f34","Return results from last iscan. Specify a buflen (max 8188)
	to artificially limit the size of the results buffer.
	iscanresults [buflen]","\"Return results from last iscan. Specify a buflen (max 8188)\n\tto artificially limit the size of the results buffer.\n\tiscanresults [buflen]\"","ds","s_Return_results_from_last_iscan._S_004f4f34","true",""
"004f4fc0","assoc","\"assoc\"","ds","s_assoc_004f4fc0","true",""
"004f4fc8","Print information about current network association.
	(also known as \"status\")","\"Print information about current network association.\n\t(also known as \\"status\\")\"","ds","s_Print_information_about_current_n_004f4fc8","true",""
"004f5018","status","\"status\"","ds","s_status_004f5018","true",""
"004f5020","Print information about current network association.
	(also known as \"assoc\")","\"Print information about current network association.\n\t(also known as \\"assoc\\")\"","ds","s_Print_information_about_current_n_004f5020","true",""
"004f5070","disassoc","\"disassoc\"","ds","s_disassoc_004f5070","true",""
"004f507c","Disassociate from the current BSS/IBSS.","\"Disassociate from the current BSS/IBSS.\"","ds","s_Disassociate_from_the_current_BS_004f507c","true",""
"004f50a4","chanlist","\"chanlist\"","ds","s_chanlist_004f50a4","true",""
"004f50b0","Deprecated. Use channels.","\"Deprecated. Use channels.\"","ds","s_Deprecated._Use_channels._004f50b0","true",""
"004f50cc","channels","\"channels\"","ds","s_channels_004f50cc","true",""
"004f50d8","Return valid channels for the current settings.","\"Return valid channels for the current settings.\"","ds","s_Return_valid_channels_for_the_cu_004f50d8","true",""
"004f5108","channels_in_country","\"channels_in_country\"","ds","s_channels_in_country_004f5108","true",""
"004f511c","Return valid channels for the country specified.
	Arg 1 is the country abbreviation
	Arg 2 is the band(a or b)","\"Return valid channels for the country specified.\n\tArg 1 is the country abbreviation\n\tArg 2 is the band(a or b)\"","ds","s_Return_valid_channels_for_the_co_004f511c","true",""
"004f518c","curpower","\"curpower\"","ds","s_curpower_004f518c","true",""
"004f5198","Return current tx power settings.
	-v\, --verbose: display the power settings for every rate even when every rate in a rate group has the same power.","\"Return current tx power settings.\n\t-v\, --verbose: display the power settings for every rate even when every rate in a rate group has the same power.\"","ds","s_Return_current_tx_power_settings_004f5198","true",""
"004f5230","txpwr_target_max","\"txpwr_target_max\"","ds","s_txpwr_target_max_004f5230","true",""
"004f5244","Return current max tx target power settings.
","\"Return current max tx target power settings.\n\"","ds","s_Return_current_max_tx_target_pow_004f5244","true",""
"004f5274","chanspec_txpwr_max","\"chanspec_txpwr_max\"","ds","s_chanspec_txpwr_max_004f5274","true",""
"004f5288","Return valid chanspecs with max tx power settings.
	-b band (5(a) or 2(b/g))
	-w bandwidth\, 20\, 40\, 80\, 160 or 8080
","\"Return valid chanspecs with max tx power settings.\n\t-b band (5(a) or 2(b/g))\n\t-w bandwidth\, 20\, 40\, 80\, 160 or 8080\n\"","ds","s_Return_valid_chanspecs_with_max_t_004f5288","true",""
"004f5300","curppr","\"curppr\"","ds","s_curppr_004f5300","true",""
